nb,xg,yg,zg,volpix,volmarch,surfacemarch,sphericity,Ixx,Iyy,Izz,Ixy,Iyz,Izx,I1,I2,I3,vI1x,vI1y,vI1z,vI2x,vI2y,vI2z,vI3x,vI3y,vI3z,Fab,Fac,Fbc,a_ellipsoid,b_ellipsoid,c_ellipsoid,a_box,b_box,c_box,xmin,xmax,ymin,ymax,zmin,zmax,border,eq_diam,amin,amax,bmin,bmax,cmin,cmax
1,1496.000,559.385,62.462,13,10.000,25.096,0.894,8.308,11.231,13.077,-0.000,-0.692,-0.000,8.308,11.000,13.308,1.000,0.000,0.000,0.000,-0.949,-0.316,0.000,0.316,-0.949,1.228,1.633,1.330,1.685,1.373,1.032,1.358,1.106,0.832,1495,1497,558,560,62,63,0,2.673,-450.300,0.000,0.000,167.063,-36.398,0.000
2,512.593,307.148,130.111,27,21.542,56.104,0.667,66.074,105.185,153.926,64.370,5.444,-8.222,17.643,152.760,154.782,-0.801,0.594,-0.072,-0.558,-0.786,-0.267,0.215,0.174,-0.961,3.840,4.308,1.122,4.398,1.145,1.021,3.545,0.923,0.823,509,515,305,310,129,131,0,3.452,0.000,65.236,0.000,143.798,-11.225,0.000
3,513.257,307.571,139.800,35,28.896,71.336,0.638,92.171,218.286,287.257,107.143,1.000,2.200,30.899,279.080,287.734,-0.868,0.496,0.006,-0.482,-0.845,0.233,-0.120,-0.200,-0.972,3.681,4.908,1.333,4.995,1.357,1.018,4.026,1.094,0.820,509,517,305,311,139,141,0,3.807,0.000,67.049,0.000,102.153,0.000,56.211
4,1162.917,399.083,161.833,12,8.854,25.047,0.826,8.583,10.583,11.833,-1.083,-0.167,0.167,8.107,11.000,11.893,-0.916,-0.399,0.023,0.381,-0.889,-0.254,-0.122,0.224,-0.967,1.282,1.432,1.117,1.571,1.226,1.097,1.266,0.988,0.885,1162,1164,398,400,161,163,0,2.567,0.000,435.708,-18.414,0.000,0.000,75.631
5,594.944,434.111,555.389,18,14.396,36.511,0.784,22.056,29.222,42.722,15.889,2.778,-2.389,8.967,41.621,43.412,-0.775,0.623,-0.106,-0.604,-0.683,0.411,-0.183,-0.383,-0.906,2.659,3.256,1.224,3.099,1.165,0.952,2.498,0.939,0.767,593,597,433,436,555,556,0,3.018,0.000,65.665,0.000,108.444,0.000,196.013
6,865.796,1215.630,578.019,54,48.583,84.904,0.758,95.574,235.741,273.352,66.074,2.630,-3.204,69.261,261.840,273.566,-0.929,0.369,-0.019,-0.369,-0.923,0.108,-0.022,-0.108,-0.994,2.399,2.846,1.186,4.295,1.790,1.509,3.461,1.443,1.216,862,870,1214,1218,577,579,0,4.527,0.000,45.784,0.000,156.123,0.000,82.458
7,980.814,750.744,596.651,43,38.271,64.899,0.846,73.953,110.279,108.698,26.047,-5.163,4.791,59.466,109.218,124.245,-0.876,0.463,0.134,-0.191,-0.078,-0.979,-0.442,-0.883,0.157,1.528,1.979,1.295,3.023,1.978,1.528,2.437,1.594,1.231,978,983,749,752,595,598,0,4.181,0.000,56.942,0.000,104.770,0.000,125.917
8,952.579,1245.632,735.316,19,14.729,40.657,0.715,24.526,42.737,59.053,20.947,1.789,-3.526,10.473,56.408,59.435,-0.834,0.546,-0.081,-0.532,-0.834,-0.145,0.146,0.078,-0.986,2.794,3.762,1.346,3.331,1.192,0.885,2.685,0.961,0.714,950,955,1244,1248,735,736,0,3.041,0.000,54.250,0.000,480.769,0.000,142.745
9,1005.467,267.800,745.000,15,11.375,30.949,0.790,10.400,21.733,20.133,0.600,-0.000,-3.000,9.522,20.951,21.794,-0.961,0.047,-0.272,-0.258,0.198,0.946,-0.098,-0.979,0.178,1.790,1.956,1.093,2.119,1.183,1.083,1.708,0.954,0.873,1004,1007,267,269,744,746,0,2.790,0.000,370.654,-160.357,0.000,0.000,74.301
10,1359.455,997.091,835.409,22,18.146,39.193,0.852,23.136,30.773,39.273,8.909,0.818,0.091,17.255,36.457,39.469,-0.834,0.551,-0.017,-0.537,-0.805,0.251,-0.125,-0.219,-0.968,1.701,2.030,1.193,2.464,1.448,1.214,1.986,1.167,0.978,1358,1361,996,999,834,836,0,3.260,0.000,129.951,0.000,282.660,0.000,255.891
11,706.419,700.023,1093.721,43,38.458,71.811,0.767,89.628,143.116,191.442,60.419,11.721,-10.023,48.763,180.894,194.529,-0.832,0.545,-0.103,-0.545,-0.768,0.335,-0.104,-0.335,-0.936,2.288,3.049,1.333,4.001,1.749,1.312,3.225,1.410,1.058,703,709,698,703,1093,1095,0,4.188,0.000,42.590,0.000,67.946,0.000,158.964
